variablename,short description,years,longer description,sources 
chartersch,Charter schools,1991–1996,"Did state adopt charter schools? (0 = no, 1 = yes)","Boehmke, Frederick J., and Paul Skinner. 'State policy innovativeness revisited.' State Politics & Policy Quarterly 12.3 (2012): 303-329."
education,Strategic planning for education,1970–1991,"Did state adopt strategic planning for education? (0 = no, 1 = yes)","Boehmke, Frederick J., and Paul Skinner. 'State policy innovativeness revisited.' State Politics & Policy Quarterly 12.3 (2012): 303-329."
edutv,Educational television,1951–1966,"Did state adopt educational television? (0 = no, 1 = yes)","Boehmke, Frederick J., and Paul Skinner. 'State policy innovativeness revisited.' State Politics & Policy Quarterly 12.3 (2012): 303-329."
hsexit,High school exit exams,1976–1999,"Did state adopt high school exit exams? (0 = no, 1 = yes)","Boehmke, Frederick J., and Paul Skinner. 'State policy innovativeness revisited.' State Politics & Policy Quarterly 12.3 (2012): 303-329."
schoolchoi,School choice,1987–1992,"Did state adopt school choice? (0 = no, 1 = yes)","Boehmke, Frederick J., and Paul Skinner. 'State policy innovativeness revisited.' State Politics & Policy Quarterly 12.3 (2012): 303-329."
teacelm,Teacher certification— elementary,1930–1957,"Did state adopt teacher certification (elementary)? (0 = no, 1 = yes)","Boehmke, Frederick J., and Paul Skinner. 'State policy innovativeness revisited.' State Politics & Policy Quarterly 12.3 (2012): 303-329."
athlete_agents_act,"Governs relations among student athletes, athlete agents, and educational institutions",2001–2010,0 = policy not adopted 1 = policy adopted,"Uniform Law Commission website:  http://www.uniformlaws.org/
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7"
athlete_agents_act_2015,Revision of previous law— expands definition of student and athlete,2016–2017,0 = policy not adopted 1 = policy adopted,"Uniform Law Commission website:  http://www.uniformlaws.org/
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7"
minor_student_capacity_to_borrow,Provides that a student loan is enforceable against debtor,1970–1973,0 = policy not adopted 1 = policy adopted,"Uniform Law Commission website:  http://www.uniformlaws.org/
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7"
echart,Charter schools law,2000–2016,"Charter schools law? (0 = no, 1 = yes)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
ecsalb,"Compulsory school age, lower bound",2000–2016,"Compulsory school age, lower bound (minimum standard if set by local school district; age at which parental waivers not permitted)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
ecsaub,"Compulsory school age, upper bound",2000–2016,"Compulsory school age, upper bound (minimum standard if set by local school district; age at which parental waivers not permitted)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
ecsyrs,Compulsory school years,2000–2016,Compulsory school years (ecsaub – ecsalb),"Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
eevol,Law permitting public school teachers to teach 'weaknesses of evolution',2000–2016,"Law permitting public school teachers to teach 'weaknesses of evolution' (0 = no, 1 = yes)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
effg,Friedman Foundation grade of state regulations of private schools,2006–2016,Friedman Foundation grade of state regulations of private schools,"Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
ehscurr,Required subjects/curricul um for homeschoolers,2000–2016,"Required subjects/curriculum for homeschoolers? (0 = none, 1 = subjects required, 2 = curriculum subject to approval/review)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
ehslaw,Homeschooling explicitly permitted by statute,2000–2016,"Homeschooling explicitly permitted by statute? (0 = no, must use alternative options, 1= yes)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
ehsnote,Extent of homeschooling notice required,2000–2016,"Extent of homeschooling notice required
0 = none; 1 = only basic identifying or attendance info must be submitted; 1.5
= curriculum and similar info must be submitted only once; 2 = curriculum, qualifications, or other info must be submitted)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
ehsnotf,Frequency of homeschooling notice required,2000–2016,"Frequency of homeschooling notice required (0 = never, 1 = once, 2 = annually, 3 = more than annually)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
ehsnoti,Homeschooling notification index,2000–2016,Homeschooling notification index (ehsnotf * ehsnote),"Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
ehsrkr,Extent of homeschool recordkeeping requirements,2000–2016,"Extent of homeschool recordkeeping requirements (0 = none, 1 = attendance, 2 = teaching materials/record of instruction/progress reports)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
ehsst,Standardized testing or other official evaluation required,2000–2016,"Standardized testing or other official evaluation required? (0 = none, 1 = periodic, 2 = annual or annual in high school and periodic in other grades)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
ehstq,Teacher qualifications required,2000–2016,"Teacher qualifications required? (0 = some homeschooling options do not require teaching qualifications, 1 = some qualifications required under all homeschooling options)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
ekind,Kindergarten attendance required,2000–2016,"Kindergarten attendance required? (0 = no, 1 = half-day, 2 = full day)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
emaps,"Mandatory state approval, where state has discretion, licensing, or accreditation of private schools",2000–2016,"Mandatory state approval, where state has discretion, licensing, or accreditation of private schools? (0 = no, 0.5 = yes, with broad exemptions, 1= yes)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
emlpst,Mandatory state licensure of private school teachers,2000–2016,"Mandatory state licensure of private school teachers? (0 = no, 0.5 = yes, with broad exemptions, 1= yes)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
emrps,Mandatory registration or licensing of private schools,2000–2016,"Mandatory registration or licensing of private schools? (0 = no, 0.5 = yes, with broad exemptions, 1= yes)
(note: if approval is required, registration is also coded as being required)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
epsc,Public school choice,2000–2016,Public school choice (0 = no mandatory open enrollment laws; .1 = inter or intra only under special circumstances; .5 = inter or intra for low-performing schools or other substantial qualifications; 1 = intradistrict mandatory; 1.5 = intradistrict mandatory or interdistrict for substantial populations; 2 = interdistrict mandatory),"Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
epscurr,Extent of private school curriculum control,2000–2016,"Extent of private school curriculum control
0 = none, 1 = general (subjects), 2 = detailed (content specified or approved by state)
(note: If examinations are required prior to graduation, this is considered a form of detailed curriculum control)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
etcd,Tax credit/deduction law for scholarship contributions or educational expenses of parents,2000–2016,"Tax credit/deduction law for scholarship contributions or educational expenses of parents?
(0 = none, 1 = for special needs only or otherwise very limited eligibility, OR credit 50% or less of donation, or low cap on credit; 2= broad eligibility for receipt OR contribution)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
evouch,Publicly funded voucher law?,2000–2016,"Publicly funded voucher law?
0 = no; 0.5 = yes, but limited to students with disabilities; 1 = yes, but limited to low-income families in poor school districts or to towns/counties that choose to tuition out or ESA limited to students with disabilities; 2 = yes, statewide, & includes families up to 185% of federal poverty guidelines or limited eligibility ESA; 3 = ESA with wide eligibility","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
education_corporal_punishment_ba,Ban on corporal punishment in schools,1970–2014,"Does the state ban corporal punishment in schools? (0 = no, 1 = yes)","Caughey, Devin, and Christopher Warshaw. 2015. 'The Dynamics of State Policy Liberalism, 1936–2014.' American Journal of Political Science, September. doi: 10.1111/ajps.12219. https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/Z XZMJB"
education_librarysystem,State library system,1980–1948,"State library system (0 = no, 1 = yes)","Caughey, Devin, and Christopher Warshaw. 2015. 'The Dynamics of State Policy Liberalism, 1936–2014.' American Journal of Political Science, September. doi: 10.1111/ajps.12219. https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/Z XZMJB"
education_schoolfordeaf,School for deaf,1936–1950,"School for deaf (0 = no, 1 = yes)","Caughey, Devin, and Christopher Warshaw. 2015. 'The Dynamics of State Policy Liberalism, 1936–2014.' American Journal of Political Science, September. doi: 10.1111/ajps.12219. https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/Z XZMJB"
education_teacher_cert_elementar,Teacher degree required— elementary school,1936–1969,In what year does the state require elementary school teachers to hold a degree?,"Caughey, Devin, and Christopher Warshaw. 2015. 'The Dynamics of State Policy Liberalism, 1936–2014.' American Journal of Political Science, September. doi: 10.1111/ajps.12219. https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/Z XZMJB"
education_teacher_cert_hs,Teacher degree required—high school,1936–1963,In what year does the state require high school teachers to hold a degree?,"Caughey, Devin, and Christopher Warshaw. 2015. 'The Dynamics of State Policy Liberalism, 1936–2014.' American Journal of Political Science, September. doi: 10.1111/ajps.12219. https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/Z XZMJB"
w_education_biblereading,Allow Ten Commandments in schools,1936–2013,Does the state allow the Ten Commandments to be posted in educational institutions? (0 = no; 1 = the state has a policy permitting the Ten Commandments to be displayed on state/public property; 2 = the law mandates it is posted in a public institution/school),"Caughey, Devin, and Christopher Warshaw. 2015. 'The Dynamics of State Policy Liberalism, 1936–2014.' American Journal of Political Science, September. doi: 10.1111/ajps.12219. https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/Z XZMJB"
w_education_moment_of_silence,Moment of silence required,1957–2014,Does the state have a mandatory moment of silence period at the beginning of each school day? (0 = no; 1 = a period for reflection or prayer at the beginning of each day is permissible; 2 = state has a mandatory period for reflection or prayer at the beginning of each day),"Caughey, Devin, and Christopher Warshaw. 2015. 'The Dynamics of State Policy Liberalism, 1936–2014.' American Journal of Political Science, September. doi: 10.1111/ajps.12219. https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/Z XZMJB"
